entity,animation,frames,fps,loop,frame_w,frame_h,pivot
hero_main,idle,6,8,true,32,32,bottom_center
hero_main,walk,8,12,true,32,32,bottom_center
hero_main,run,8,14,true,32,32,bottom_center
hero_main,attack_1,8,12,false,32,32,bottom_center
hero_main,attack_2,10,12,false,32,32,bottom_center
hero_main,hurt,4,10,false,32,32,bottom_center
hero_main,jump,6,12,false,32,32,bottom_center
hero_main,fall,2,8,true,32,32,bottom_center
hero_main,death,10,10,false,32,32,bottom_center
mob_slime,idle,4,8,true,32,32,bottom_center
mob_slime,move,6,10,true,32,32,bottom_center
mob_slime,attack,6,12,false,32,32,bottom_center
mob_slime,hurt,3,10,false,32,32,bottom_center
mob_slime,death,6,10,false,32,32,bottom_center
mob_skeleton,idle,6,8,true,32,32,bottom_center
mob_skeleton,walk,8,12,true,32,32,bottom_center
mob_skeleton,attack,8,12,false,32,32,bottom_center
mob_skeleton,hurt,4,10,false,32,32,bottom_center
mob_skeleton,death,8,10,false,32,32,bottom_center
mob_bat,fly,6,12,true,32,32,center
mob_bat,attack,6,12,false,32,32,center
mob_bat,hurt,3,10,false,32,32,center
mob_bat,death,6,10,false,32,32,center
mob_brute,idle,6,8,true,48,48,bottom_center
mob_brute,walk,8,10,true,48,48,bottom_center
mob_brute,smash,10,10,false,48,48,bottom_center
mob_brute,hurt,4,10,false,48,48,bottom_center
mob_brute,death,10,10,false,48,48,bottom_center
class_warrior,idle,6,8,true,32,32,bottom_center
class_warrior,auto_walk,8,12,true,32,32,bottom_center
class_warrior,auto_attack,8,12,false,32,32,bottom_center
class_warrior,cast_start,4,10,false,32,32,bottom_center
class_warrior,cast_release,6,12,false,32,32,bottom_center
class_warrior,aoe_cast,10,12,false,32,32,bottom_center
class_warrior,hurt,4,10,false,32,32,bottom_center
class_warrior,death,10,10,false,32,32,bottom_center
class_warrior,victory,6,8,true,32,32,bottom_center
class_mage,idle,6,8,true,32,32,bottom_center
class_mage,auto_walk,8,12,true,32,32,bottom_center
class_mage,auto_attack,7,12,false,32,32,bottom_center
class_mage,cast_start,5,10,false,32,32,bottom_center
class_mage,cast_loop,4,8,true,32,32,bottom_center
class_mage,cast_release,6,12,false,32,32,bottom_center
class_mage,aoe_cast,10,12,false,32,32,bottom_center
class_mage,hurt,4,10,false,32,32,bottom_center
class_mage,death,10,10,false,32,32,bottom_center
class_mage,victory,6,8,true,32,32,bottom_center
class_archer,idle,6,8,true,32,32,bottom_center
class_archer,auto_walk,8,12,true,32,32,bottom_center
class_archer,auto_attack,6,12,false,32,32,bottom_center
class_archer,cast_start,4,10,false,32,32,bottom_center
class_archer,cast_release,6,12,false,32,32,bottom_center
class_archer,aoe_cast,9,12,false,32,32,bottom_center
class_archer,hurt,4,10,false,32,32,bottom_center
class_archer,death,10,10,false,32,32,bottom_center
class_archer,victory,6,8,true,32,32,bottom_center
fx_warrior_whirlwind,aoe_release,12,14,false,64,64,center
fx_mage_arcane_nova,aoe_release,14,14,false,64,64,center
fx_archer_volley_rain,projectile_spawn,16,14,false,64,64,center
